id,address_state,application_type,emp_length,emp_title,grade,home_ownership,issue_date,last_credit_pull_date,last_payment_date,loan_status,next_payment_date,member_id,purpose,sub_grade,Term_Length,Length_Type,verification_status,annual_income,dti,installment,int_rate,loan_amount,total_acc,total_payment
1046507,TX,INDIVIDUAL,1 year,Child's Day,B,RENT,12/2/2021,4/16/2021,12/14/2021,Fully Paid,1/14/2022,1277552,car,B1,36,months,Verified,16800.00,0.04,98.29,0.10,3050.00,8.00,3538.00
1059936,NY,INDIVIDUAL,4 years,OEC Freight,C,RENT,10/9/2021,9/15/2021,11/12/2021,Fully Paid,12/12/2021,1291775,car,C2,36,months,Source Verified,40000.00,0.19,343.09,0.14,10000.00,7.00,11156.00
1059497,FL,INDIVIDUAL,10+ years,Sandestin Beach Hilton,B,MORTGAGE,12/12/2021,12/14/2021,12/14/2021,Fully Paid,1/14/2022,1291322,car,B2,36,months,Verified,35000.00,0.14,162.87,0.11,5000.00,23.00,5863.00
1058060,MD,INDIVIDUAL,10+ years,,D,OWN,2/2/2021,5/16/2021,2/15/2021,Fully Paid,3/15/2021,1289636,car,D1,36,months,Not Verified,40000.00,0.10,176.51,0.16,5000.00,13.00,6361.00
112245,WI,INDIVIDUAL,6 years,Norman G. Olson Insurance,A,RENT,7/7/2021,4/16/2021,8/10/2021,Fully Paid,9/10/2021,112227,car,A2,36,months,Not Verified,40000.00,0.03,155.38,0.07,5000.00,7.00,5594.00
207910,FL,INDIVIDUAL,< 1 year,,A,MORTGAGE,1/8/2021,5/16/2021,2/10/2021,Charged Off,3/10/2021,183496,car,A2,36,months,Not Verified,120000.00,0.08,69.14,0.07,2225.00,20.00,2508.00
65426,MI,INDIVIDUAL,< 1 year,"Infotrieve, Inc.",B,MORTGAGE,8/9/2021,5/16/2021,6/11/2021,Charged Off,7/11/2021,232106,car,B1,36,months,Not Verified,60000.00,0.11,131.22,0.11,4000.00,33.00,2755.00
211723,MD,INDIVIDUAL,4 years,self employed,C,OWN,1/8/2021,12/9/2021,8/8/2021,Charged Off,9/8/2021,211606,car,C2,36,months,Not Verified,72000.00,0.05,262.26,0.11,8000.00,8.00,2135.00
662350,NV,INDIVIDUAL,10+ years,Clark County School District,A,MORTGAGE,1/11/2021,2/13/2021,8/12/2021,Charged Off,9/12/2021,847024,car,A5,36,months,Not Verified,70800.00,0.08,77.95,0.08,2500.00,39.00,1479.00
1006769,PA,INDIVIDUAL,6 years,The Mount Sinai School of Medicine,A,MORTGAGE,11/11/2021,11/13/2021,6/13/2021,Charged Off,7/13/2021,1233120,car,A3,36,months,Not Verified,80000.00,0.06,124.45,0.08,4000.00,11.00,2479.00
405898,GA,INDIVIDUAL,< 1 year,Blue Ridge Design Group,A,MORTGAGE,6/9/2021,5/16/2021,12/9/2021,Charged Off,1/9/2022,454145,car,A5,36,months,Not Verified,36000.00,0.15,385.14,0.10,12000.00,24.00,2306.00
445846,MI,INDIVIDUAL,10+ years,Abbott Nutrition,A,MORTGAGE,10/9/2021,5/16/2021,2/12/2021,Charged Off,3/12/2021,544784,car,A5,36,months,Not Verified,45000.00,0.15,222.41,0.09,7000.00,24.00,6446.00
659221,MI,INDIVIDUAL,3 years,rice &werthmann,A,MORTGAGE,1/11/2021,5/16/2021,10/13/2021,Charged Off,11/13/2021,843127,car,A5,36,months,Not Verified,86400.00,0.04,280.62,0.08,9000.00,10.00,8945.00
782425,UT,INDIVIDUAL,6 years,Five County Assoc of Governments,A,MORTGAGE,6/11/2021,5/16/2021,7/12/2021,Charged Off,8/12/2021,985412,car,A5,36,months,Not Verified,24600.00,0.08,152.42,0.09,4800.00,21.00,1978.00
458328,GA,INDIVIDUAL,< 1 year,north ga dentention center,B,MORTGAGE,1/10/2021,11/10/2021,7/10/2021,Charged Off,8/10/2021,570309,car,B2,36,months,Not Verified,30000.00,0.10,164.85,0.11,5000.00,19.00,884.00
744344,WA,INDIVIDUAL,6 years,,B,MORTGAGE,5/11/2021,5/16/2021,1/13/2021,Charged Off,2/13/2021,942813,car,B4,36,months,Not Verified,48000.00,0.24,197.83,0.11,6000.00,27.00,3950.00
1026463,FL,INDIVIDUAL,6 years,sky powersports,C,MORTGAGE,11/11/2021,4/14/2021,12/13/2021,Charged Off,1/13/2022,1255647,car,C3,36,months,Not Verified,60000.00,0.04,217.32,0.15,6300.00,10.00,5554.00
489679,FL,INDIVIDUAL,2 years,Synovus Bank,D,MORTGAGE,3/10/2021,12/12/2021,7/12/2021,Charged Off,8/12/2021,624878,car,D4,36,months,Not Verified,34000.00,0.15,210.07,0.16,6000.00,6.00,5986.00
519658,GA,INDIVIDUAL,< 1 year,ACUMEN FISCAL AGENT/MS ROBINSON,A,OWN,5/10/2021,1/12/2021,8/11/2021,Charged Off,9/11/2021,671773,car,A5,36,months,Not Verified,18000.00,0.22,148.59,0.08,4750.00,16.00,2216.00
470041,CA,INDIVIDUAL,10+ years,inspired automation inc,A,OWN,1/10/2021,3/12/2021,10/11/2021,Charged Off,11/11/2021,593245,car,A1,36,months,Not Verified,43800.00,0.07,148.32,0.07,4800.00,7.00,3210.00
393852,NH,INDIVIDUAL,10+ years,self,B,OWN,5/9/2021,6/11/2021,1/11/2021,Charged Off,2/11/2021,432187,car,B4,36,months,Not Verified,98736.00,0.08,50.58,0.12,9000.00,19.00,1045.00
725534,TX,INDIVIDUAL,1 year,Able Electronics,B,OWN,4/11/2021,12/13/2021,7/13/2021,Charged Off,8/13/2021,920793,car,B4,36,months,Not Verified,48000.00,0.05,60.34,0.11,1850.00,45.00,1655.00
428387,PA,INDIVIDUAL,< 1 year,Abraxas I,C,OWN,7/9/2021,5/16/2021,10/9/2021,Charged Off,11/9/2021,506847,car,C2,36,months,Not Verified,27852.00,0.10,141.20,0.13,4200.00,28.00,282.00
783561,CA,INDIVIDUAL,6 years,La curacao,A,RENT,6/11/2021,6/12/2021,2/12/2021,Charged Off,3/12/2021,986688,car,A4,36,months,Not Verified,48000.00,0.26,186.61,0.07,6000.00,16.00,1575.00
969474,HI,INDIVIDUAL,7 years,Outback Steakhouse,A,RENT,10/11/2021,3/14/2021,10/13/2021,Charged Off,11/13/2021,1190684,car,A5,36,months,Not Verified,30000.00,0.19,228.63,0.09,7200.00,25.00,5845.00
773111,WA,INDIVIDUAL,3 years,URS corp,A,RENT,6/11/2021,4/14/2021,11/13/2021,Charged Off,12/13/2021,975126,car,A5,36,months,Not Verified,22800.00,0.05,75.76,0.08,2400.00,3.00,2278.00
472634,FL,INDIVIDUAL,1 year,walmart,A,RENT,12/9/2021,4/11/2021,11/10/2021,Charged Off,12/10/2021,596856,car,A1,36,months,Not Verified,12720.00,0.00,231.75,0.07,7500.00,9.00,2073.00
494891,MA,INDIVIDUAL,5 years,EdgeStream Inc,B,RENT,3/10/2021,4/16/2021,3/11/2021,Charged Off,4/11/2021,633723,car,B5,36,months,Not Verified,31000.00,0.02,182.66,0.11,5550.00,5.00,2083.00
458797,NV,INDIVIDUAL,8 years,MAD MATT'S Bar & Grille,B,RENT,11/9/2021,11/11/2021,7/11/2021,Charged Off,8/11/2021,571361,car,B2,36,months,Not Verified,89650.00,0.01,725.31,0.11,22000.00,19.00,15424.00
743690,OK,INDIVIDUAL,3 years,Dominos Pizza,B,RENT,5/11/2021,2/15/2021,6/12/2021,Charged Off,7/12/2021,942003,car,B5,36,months,Not Verified,45000.00,0.15,332.10,0.12,10000.00,18.00,4553.00
384963,NJ,INDIVIDUAL,10+ years,Pesci Family,B,RENT,3/9/2021,7/11/2021,3/11/2021,Charged Off,4/11/2021,416412,car,B1,36,months,Not Verified,39996.00,0.23,261.71,0.11,8000.00,43.00,6197.00
508426,OH,INDIVIDUAL,< 1 year,Forum Health,B,RENT,5/10/2021,5/16/2021,12/11/2021,Charged Off,1/11/2022,656002,car,B4,36,months,Not Verified,49800.00,0.17,163.68,0.11,5000.00,13.00,3110.00
402318,IL,INDIVIDUAL,8 years,River Trails Park District,B,RENT,5/9/2021,3/12/2021,10/11/2021,Charged Off,11/11/2021,446914,car,B5,36,months,Not Verified,15000.00,0.17,106.61,0.12,3200.00,19.00,3140.00
359401,CA,INDIVIDUAL,2 years,DMS Marketing,C,RENT,10/8/2021,5/16/2021,9/9/2021,Charged Off,10/9/2021,366581,car,C3,36,months,Not Verified,48000.00,0.18,200.47,0.12,6000.00,14.00,5104.00
290803,TX,INDIVIDUAL,< 1 year,Nesle,C,RENT,3/8/2021,12/10/2021,8/10/2021,Charged Off,9/10/2021,290796,car,C2,36,months,Not Verified,37440.00,0.08,98.70,0.11,3000.00,14.00,2798.00
847836,AZ,INDIVIDUAL,7 years,24 hour fitness,C,RENT,8/11/2021,5/16/2021,5/13/2021,Charged Off,6/13/2021,1059380,car,C3,36,months,Not Verified,105000.00,0.14,382.74,0.14,11200.00,29.00,8037.00
362098,FL,INDIVIDUAL,2 years,Starbucks,D,RENT,11/8/2021,1/11/2021,8/10/2021,Charged Off,9/10/2021,371139,car,D2,36,months,Not Verified,15000.00,0.14,136.08,0.14,4000.00,13.00,2685.00
1044994,CA,INDIVIDUAL,4 years,URS Corp,D,RENT,12/11/2021,5/16/2021,3/14/2021,Charged Off,4/14/2021,1275383,car,D2,36,months,Not Verified,59100.00,0.13,106.62,0.17,3000.00,13.00,2772.00
734343,NY,INDIVIDUAL,4 years,Berean Group,B,MORTGAGE,4/11/2021,3/14/2021,10/13/2021,Charged Off,11/13/2021,930853,car,B2,36,months,Not Verified,126000.00,0.15,193.61,0.10,6000.00,22.00,5796.00
126392,WI,INDIVIDUAL,< 1 year,Tideway Systems,A,MORTGAGE,9/7/2021,8/7/2021,4/8/2021,Fully Paid,5/8/2021,125914,car,A4,36,months,Not Verified,173000.00,0.01,313.67,0.08,10000.00,41.00,10435.00
269289,CT,INDIVIDUAL,< 1 year,mdm golf,A,MORTGAGE,3/8/2021,1/11/2021,10/10/2021,Fully Paid,11/10/2021,260821,car,A5,36,months,Not Verified,60000.00,0.09,316.28,0.09,10000.00,27.00,11340.00
266282,TX,INDIVIDUAL,5 years,"NetVida Marketing, Inc.",B,MORTGAGE,2/8/2021,5/10/2021,5/10/2021,Fully Paid,6/10/2021,188654,car,B2,36,months,Not Verified,40000.00,0.19,257.24,0.10,8000.00,35.00,9149.00
243406,NJ,INDIVIDUAL,9 years,CK General Construction,B,MORTGAGE,2/8/2021,9/12/2021,2/11/2021,Fully Paid,3/11/2021,243089,car,B2,36,months,Not Verified,200000.00,0.05,192.93,0.10,6000.00,22.00,6945.00
226154,MN,INDIVIDUAL,10+ years,Ramsey County,E,MORTGAGE,1/8/2021,1/11/2021,2/11/2021,Fully Paid,3/11/2021,225530,car,E1,36,months,Not Verified,72000.00,0.23,170.72,0.14,5000.00,44.00,6146.00
253727,WA,INDIVIDUAL,2 years,Central Washington Hospital,A,OWN,2/8/2021,9/10/2021,9/10/2021,Fully Paid,10/10/2021,253715,car,A5,36,months,Not Verified,10000.00,0.00,142.33,0.09,4500.00,6.00,5096.00
196380,CA,INDIVIDUAL,10+ years,Comerica Bank,A,RENT,1/8/2021,2/10/2021,2/10/2021,Fully Paid,3/10/2021,188466,car,A4,36,months,Not Verified,62000.00,0.14,345.06,0.08,11000.00,23.00,12247.00
206181,MA,INDIVIDUAL,< 1 year,Lexington Alarm Systems,A,RENT,1/8/2021,4/16/2021,4/10/2021,Fully Paid,5/10/2021,167318,car,A1,36,months,Not Verified,28800.00,0.00,108.27,0.07,3500.00,5.00,3863.00
219070,CO,INDIVIDUAL,2 years,Arborist Services,B,RENT,2/8/2021,9/10/2021,9/10/2021,Fully Paid,10/10/2021,219037,car,B5,36,months,Not Verified,50000.00,0.05,194.91,0.10,6000.00,21.00,6982.00
219000,WA,INDIVIDUAL,3 years,Evergreen Treatment Services,B,RENT,1/8/2021,1/11/2021,1/11/2021,Fully Paid,2/11/2021,218997,car,B1,36,months,Not Verified,37000.00,0.17,175.42,0.09,5500.00,36.00,6320.00
281384,TN,INDIVIDUAL,< 1 year,Church of God of Prophecy,C,RENT,3/8/2021,3/11/2021,3/11/2021,Fully Paid,4/11/2021,281309,car,C3,36,months,Not Verified,54263.00,0.12,115.69,0.12,3500.00,23.00,4164.00
120525,VA,INDIVIDUAL,1 year,Starbucks,C,RENT,8/7/2021,6/11/2021,8/10/2021,Fully Paid,9/10/2021,120227,car,C3,36,months,Not Verified,18000.00,0.18,130.79,0.11,4000.00,5.00,4708.00
253987,VA,INDIVIDUAL,2 years,Comcast,C,RENT,2/8/2021,5/16/2021,6/10/2021,Fully Paid,7/10/2021,253974,car,C1,36,months,Not Verified,41000.00,0.17,98.26,0.11,3000.00,16.00,3498.00
450292,CT,INDIVIDUAL,1 year,Newcomb Spring,A,MORTGAGE,10/9/2021,2/16/2021,10/12/2021,Fully Paid,11/12/2021,553755,car,A2,36,months,Not Verified,85000.00,0.02,136.66,0.07,4400.00,19.00,4920.00
401775,GA,INDIVIDUAL,1 year,Chemlink Laboratories,A,MORTGAGE,5/9/2021,5/12/2021,5/12/2021,Fully Paid,6/12/2021,446077,car,A2,36,months,Not Verified,28500.00,0.02,265.13,0.08,8500.00,10.00,9544.00
373881,TX,INDIVIDUAL,1 year,Jesuit College Preparatory School,A,MORTGAGE,1/9/2021,2/11/2021,2/11/2021,Fully Paid,3/11/2021,394401,car,A2,36,months,Not Verified,40308.00,0.06,155.96,0.08,5000.00,19.00,5422.00
973780,TX,INDIVIDUAL,1 year,Diamond Offshore,A,MORTGAGE,10/11/2021,10/14/2021,10/14/2021,Fully Paid,11/14/2021,1195796,car,A2,36,months,Not Verified,149400.00,0.10,214.93,0.07,7000.00,43.00,7737.00
750759,WI,INDIVIDUAL,1 year,BRP US Inc,A,MORTGAGE,6/11/2021,6/14/2021,6/14/2021,Fully Paid,7/14/2021,950147,car,A2,36,months,Not Verified,54000.00,0.11,60.84,0.06,2000.00,18.00,2190.00
745149,OH,INDIVIDUAL,1 year,Independant Contractor,A,MORTGAGE,5/11/2021,5/16/2021,5/14/2021,Fully Paid,6/14/2021,943695,car,A3,36,months,Not Verified,38400.00,0.03,74.10,0.07,2400.00,7.00,2667.00
775926,MO,INDIVIDUAL,1 year,Northwwind Engineering,A,MORTGAGE,6/11/2021,6/14/2021,6/14/2021,Fully Paid,7/14/2021,978223,car,A4,36,months,Not Verified,60000.00,0.02,149.29,0.07,4800.00,6.00,5374.00
651079,RI,INDIVIDUAL,1 year,Fakouri Electrical,A,MORTGAGE,1/11/2021,1/14/2021,1/14/2021,Fully Paid,2/14/2021,832879,car,A4,36,months,Not Verified,58000.00,0.21,124.04,0.07,4000.00,24.00,4466.00
627209,MD,INDIVIDUAL,10+ years,Second Empire Furniture Inc.,A,MORTGAGE,12/10/2021,10/14/2021,12/13/2021,Fully Paid,1/13/2022,803704,car,A1,36,months,Not Verified,31000.00,0.03,241.28,0.05,8000.00,17.00,8686.00
781516,MO,INDIVIDUAL,10+ years,state of missouri department of correcti,A,MORTGAGE,6/11/2021,7/11/2021,8/11/2021,Fully Paid,9/11/2021,984370,car,A1,36,months,Not Verified,33600.00,0.02,90.48,0.05,3000.00,15.00,3014.00
971771,CA,INDIVIDUAL,10+ years,"Stafford Meat Co., Inc.",A,MORTGAGE,10/11/2021,5/16/2021,10/14/2021,Fully Paid,11/14/2021,1193520,car,A1,36,months,Not Verified,64320.00,0.03,243.49,0.06,8000.00,17.00,8765.00
796355,RI,INDIVIDUAL,10+ years,Local 51,A,MORTGAGE,6/11/2021,4/16/2021,7/14/2021,Fully Paid,8/14/2021,1001198,car,A1,36,months,Not Verified,79200.00,0.02,150.80,0.05,5000.00,28.00,5429.00
868443,DE,INDIVIDUAL,10+ years,Bank of America,A,MORTGAGE,9/11/2021,5/16/2021,4/14/2021,Fully Paid,5/14/2021,1082151,car,A1,36,months,Not Verified,63996.00,0.07,96.52,0.05,3200.00,26.00,3468.00
683816,NY,INDIVIDUAL,10+ years,operating engineers local 158,A,MORTGAGE,3/11/2021,9/11/2021,9/11/2021,Fully Paid,10/11/2021,873188,car,A1,36,months,Not Verified,72000.00,0.21,223.19,0.05,7400.00,23.00,7556.00
1023029,PA,INDIVIDUAL,10+ years,williams service co,A,MORTGAGE,11/11/2021,11/14/2021,12/14/2021,Fully Paid,1/14/2022,1251828,car,A1,36,months,Not Verified,72000.00,0.18,152.18,0.06,5000.00,37.00,5478.00
886517,NM,INDIVIDUAL,10+ years,"C&E Concrete,inc.",A,MORTGAGE,9/11/2021,9/14/2021,10/14/2021,Fully Paid,11/14/2021,1102391,car,A1,36,months,Not Verified,41784.00,0.19,152.18,0.06,5000.00,22.00,5478.00
1001581,TX,INDIVIDUAL,10+ years,BASF Corporation,A,MORTGAGE,10/11/2021,5/16/2021,10/13/2021,Fully Paid,11/13/2021,1227382,car,A1,36,months,Not Verified,96000.00,0.24,182.62,0.06,6000.00,27.00,6493.00
1004019,NY,INDIVIDUAL,10+ years,village of solvay dpw,A,MORTGAGE,10/11/2021,4/16/2021,8/14/2021,Fully Paid,9/14/2021,1230439,car,A1,36,months,Not Verified,54000.00,0.24,182.62,0.06,6000.00,32.00,6569.00
675716,NV,INDIVIDUAL,10+ years,Gideon Toal/U.P.R Inc.,A,MORTGAGE,2/11/2021,4/14/2021,3/14/2021,Fully Paid,4/14/2021,863546,car,A1,36,months,Not Verified,36000.00,0.23,271.44,0.05,9000.00,47.00,9772.00
887254,MN,INDIVIDUAL,10+ years,City of West St Paul,A,MORTGAGE,10/11/2021,5/16/2021,11/14/2021,Fully Paid,12/14/2021,1103400,car,A1,36,months,Not Verified,114000.00,0.17,219.14,0.06,7200.00,52.00,7889.00
865714,TX,INDIVIDUAL,10+ years,Harris County,A,MORTGAGE,9/11/2021,5/16/2021,8/13/2021,Fully Paid,9/13/2021,1078994,car,A1,36,months,Not Verified,48000.00,0.17,170.41,0.05,5650.00,32.00,6067.00
770503,LA,INDIVIDUAL,10+ years,LSU MEDICAL CENTER OF LOUISIANA,A,MORTGAGE,6/11/2021,1/12/2021,1/12/2021,Fully Paid,2/12/2021,972180,car,A2,36,months,Not Verified,39600.00,0.14,182.51,0.06,6000.00,32.00,6194.00
548151,NJ,INDIVIDUAL,10+ years,ABERDEEN TWSP,A,MORTGAGE,7/10/2021,5/16/2021,8/13/2021,Fully Paid,9/13/2021,706758,car,A2,36,months,Not Verified,108000.00,0.20,107.69,0.07,3500.00,37.00,3877.00
542312,FL,INDIVIDUAL,10+ years,Micros Systems Inc.,A,MORTGAGE,7/10/2021,5/16/2021,7/13/2021,Fully Paid,8/13/2021,699868,car,A2,36,months,Not Verified,57431.00,0.06,123.07,0.07,4000.00,21.00,4431.00
1008323,AR,INDIVIDUAL,10+ years,Arkansas Department Of Correction,A,MORTGAGE,11/11/2021,12/15/2021,12/14/2021,Fully Paid,1/14/2022,1234988,car,A3,36,months,Not Verified,32468.80,0.29,186.67,0.08,6000.00,16.00,6714.00
457893,AR,INDIVIDUAL,10+ years,Kroger,A,MORTGAGE,11/9/2021,11/12/2021,11/12/2021,Fully Paid,12/12/2021,569597,car,A3,36,months,Not Verified,26000.00,0.04,218.54,0.08,7000.00,11.00,7867.00
451579,OH,INDIVIDUAL,10+ years,Alliance Data Systems,A,MORTGAGE,10/9/2021,6/14/2021,3/12/2021,Fully Paid,4/12/2021,556476,car,A3,36,months,Not Verified,75000.00,0.02,156.10,0.08,5000.00,21.00,5584.00
1027822,KY,INDIVIDUAL,10+ years,City of Madisonville,A,MORTGAGE,11/11/2021,5/16/2021,8/14/2021,Fully Paid,9/14/2021,1257204,car,A3,36,months,Not Verified,58000.00,0.27,56.00,0.08,1800.00,28.00,2013.00
700052,NC,INDIVIDUAL,10+ years,RCCG - Victory Temple,A,MORTGAGE,4/11/2021,11/15/2021,4/14/2021,Fully Paid,5/14/2021,891691,car,A3,36,months,Not Verified,50000.00,0.20,308.41,0.07,10000.00,32.00,11103.00
661459,OH,INDIVIDUAL,10+ years,Atkins and Pearce,A,MORTGAGE,2/11/2021,2/14/2021,2/14/2021,Fully Paid,3/14/2021,845936,car,A4,36,months,Not Verified,48000.00,0.20,201.57,0.07,6500.00,24.00,7257.00
768140,CA,INDIVIDUAL,10+ years,Orchard Supply Hardware,A,MORTGAGE,5/11/2021,12/12/2021,12/12/2021,Fully Paid,1/12/2022,969361,car,A4,36,months,Not Verified,73000.00,0.14,155.51,0.07,5000.00,23.00,5312.00
823069,CT,INDIVIDUAL,10+ years,Custom Phone Inc,A,MORTGAGE,7/11/2021,11/12/2021,11/12/2021,Fully Paid,12/12/2021,1031607,car,A4,36,months,Not Verified,68000.00,0.03,248.82,0.07,8000.00,13.00,8615.00
761499,GA,INDIVIDUAL,10+ years,Greif LLC,A,MORTGAGE,5/11/2021,8/14/2021,6/14/2021,Fully Paid,7/14/2021,961964,car,A4,36,months,Not Verified,112992.00,0.18,248.82,0.07,8000.00,25.00,8957.00
390651,VA,INDIVIDUAL,10+ years,Girard Engineering,A,MORTGAGE,4/9/2021,7/15/2021,4/12/2021,Fully Paid,5/12/2021,425903,car,A4,36,months,Not Verified,135000.00,0.05,255.58,0.09,8000.00,14.00,9201.00
483645,GA,INDIVIDUAL,10+ years,AT&T,A,MORTGAGE,2/10/2021,2/13/2021,2/13/2021,Fully Paid,3/13/2021,615502,car,A4,36,months,Not Verified,75181.00,0.18,186.66,0.08,6000.00,30.00,6720.00
866551,IL,INDIVIDUAL,10+ years,City of Chicago,A,MORTGAGE,9/11/2021,9/14/2021,9/14/2021,Fully Paid,10/14/2021,1079988,car,A4,36,months,Not Verified,110400.00,0.19,93.31,0.07,3000.00,41.00,3359.00
394295,CA,INDIVIDUAL,10+ years,Downey welding,A,MORTGAGE,4/9/2021,5/12/2021,5/12/2021,Fully Paid,6/12/2021,432897,car,A5,36,months,Not Verified,48000.00,0.13,481.42,0.10,15000.00,31.00,17331.00
472637,TX,INDIVIDUAL,2 years,Accenture,A,MORTGAGE,12/9/2021,12/11/2021,12/11/2021,Fully Paid,1/11/2022,596861,car,A1,36,months,Not Verified,54000.00,0.03,268.83,0.07,8700.00,15.00,9538.00
732697,CO,INDIVIDUAL,2 years,Corvirtus,A,MORTGAGE,4/11/2021,10/15/2021,5/14/2021,Fully Paid,6/14/2021,928926,car,A1,36,months,Not Verified,85000.00,0.04,168.90,0.05,5600.00,36.00,6080.00
628369,TX,INDIVIDUAL,2 years,Cricket Communications,A,MORTGAGE,12/10/2021,12/13/2021,12/13/2021,Fully Paid,1/13/2022,805177,car,A3,36,months,Not Verified,36000.00,0.20,54.90,0.06,1800.00,21.00,1977.00
842807,NY,INDIVIDUAL,2 years,walmart distribution,A,MORTGAGE,8/11/2021,5/16/2021,8/14/2021,Fully Paid,9/14/2021,1053506,car,A4,36,months,Not Verified,36000.00,0.19,217.72,0.07,7000.00,13.00,7838.00
564180,CA,INDIVIDUAL,3 years,California Department of Justice,A,MORTGAGE,8/10/2021,8/13/2021,9/13/2021,Fully Paid,10/13/2021,725950,car,A1,36,months,Not Verified,120000.00,0.05,140.76,0.06,4600.00,42.00,5068.00
464609,AZ,INDIVIDUAL,3 years,Mesa Fire Department,A,MORTGAGE,12/9/2021,5/16/2021,3/10/2021,Fully Paid,4/10/2021,582432,car,A2,36,months,Not Verified,60000.00,0.10,62.12,0.07,2000.00,14.00,2036.00
1050642,OH,INDIVIDUAL,3 years,Ares Inc.,A,MORTGAGE,12/11/2021,6/14/2021,6/14/2021,Fully Paid,7/14/2021,1281883,car,A2,36,months,Not Verified,62352.00,0.12,116.68,0.07,3800.00,24.00,4187.00
